"Simulation","TargetYear","Quantile","Target_spatial_SD","N","RMSE","MAE","R2_predictive","Bias"
15,2009,0.102924682665616,0.0592372501123774,22733,0.0428314761244952,0.0366881601007809,0.477176127945983,9.0056229967572e-18
15,2016,0.580674635712057,0.0765246345611474,22733,0.0266040976439458,0.0218819247591246,0.879131358140172,-2.53093310503368e-18
15,2024,0.407957028597593,0.0608010730033907,22593,0.0330390523723122,0.0282860012072401,0.704707851053303,-1.97024885818502e-17
16,2009,0.899824970401824,0.115041069334686,22733,0.0611138259675042,0.0490045625195306,0.717777112488042,-7.04223095471069e-18
16,2016,0.413788636680692,0.0683826875845244,22733,0.0291876217909957,0.0247176950214263,0.817810143502944,6.68694882922531e-18
16,2024,0.795284648891538,0.0820588733853592,22593,0.0258615698909442,0.0202426935445355,0.900670581742197,-9.75739965377222e-19
17,2009,0.24608773435466,0.0709685047403982,22733,0.0409359721660646,0.0335319807652832,0.667265363417483,-9.11553957802113e-20
17,2016,0.32742266333662,0.0638158641144207,22733,0.0314246258802619,0.0268923029508262,0.757505424560705,4.57222967315126e-19
17,2024,0.054727965965867,0.0351498025802017,22593,0.0545442848618558,0.0484020435255973,-1.408085744423,5.81038523114281e-18
18,2009,0.0420595335308462,0.0517042200133597,22733,0.0459606532213623,0.040118754667739,0.20979548328821,-1.10107948932835e-18
18,2016,0.420827073976398,0.0687232692059898,22733,0.0290426880753382,0.0245721521958086,0.821398499371161,4.70976221867203e-18
18,2024,0.794298721943051,0.0819853590041187,22593,0.0258574651782859,0.0202426631400239,0.900523954000564,-1.89829197528707e-18
19,2009,0.327920719282702,0.0761738670538327,22733,0.0412992233661185,0.0331413630953427,0.706038221021628,3.526976484816e-18
19,2016,0.365601419704035,0.065939082216531,22733,0.0303137140942709,0.0258246719337401,0.788645446485992,6.75547574335932e-18
19,2024,0.382710707373917,0.0596333014018096,22593,0.0338318605801002,0.0290291000738254,0.678120527288996,-8.51017365044269e-18
20,2009,0.954503649147227,0.122968594194324,22733,0.0673804169949343,0.055034872109829,0.699739587389609,-4.79001502277362e-18
20,2016,0.870706968009472,0.096278274716861,22733,0.0309770393130844,0.0247690902306238,0.896475695865342,-5.31730896111513e-18
20,2024,0.40116225136444,0.0604919531176862,22593,0.0332453071696681,0.0284800938832856,0.697945918097622,4.85733478639934e-18
21,2009,0.889539316063747,0.113826826567106,22733,0.0601924194117242,0.048110511011791,0.720350885624109,5.05064616267632e-18
21,2016,0.272976407315582,0.0604512006996022,22733,0.0334289898307573,0.0287903330153238,0.694187137377765,6.71260938552578e-18
21,2024,0.391418411396444,0.0600425573910911,22593,0.0335498673612497,0.0287655494056951,0.6877643597195,-4.84222863443318e-19
22,2009,0.6928034061566,0.0969497536849506,22733,0.0489011036899035,0.0376006479866468,0.74557311143712,-2.37560604902957e-18
22,2016,0.393322388408706,0.0673720053837909,22733,0.0296344340170006,0.0251612853911277,0.806512270009982,4.06847932353308e-18
22,2024,0.0195156494155526,0.0293041339494113,22593,0.0602264033383074,0.0537100076802589,-3.22411076624058,1.20020935753249e-18
23,2009,0.640506813768297,0.0935363814164532,22733,0.0470756188062358,0.0362899269662799,0.746691332519301,-5.37863514506595e-18
23,2016,0.892266595270485,0.0984548621708885,22733,0.0322380099549746,0.0259191801778626,0.892778663188309,1.02495784223114e-17
23,2024,0.487903701607138,0.0644152471578767,22593,0.030812526751291,0.0261524947467314,0.771178675405764,1.02310338743014e-17
24,2009,0.994269776623696,0.13358873664403,22733,0.0763067388991242,0.0635039865157164,0.67370891627335,1.33724376602539e-17
24,2016,0.823059925576672,0.0920501465684055,22733,0.0288750665718511,0.0229129628467114,0.901595235983726,-1.14714919886064e-17
24,2024,0.197976175462827,0.0486252813969326,22593,0.0424294981367241,0.0370495053650386,0.238568643585191,-2.4869214252437e-18
25,2009,0.655705799115822,0.0944998203513886,22733,0.0475711087258509,0.0366266587112692,0.746578366594176,1.73461545161044e-17
25,2016,0.725577592849731,0.0849474655825419,22733,0.0266410928983326,0.0212238267292426,0.901639137997953,4.56201505122314e-18
25,2024,0.861999339656904,0.0875382659774096,22593,0.026769302310183,0.0208756111827332,0.906481518052419,-1.51116526377773e-17
26,2009,0.708530468167737,0.09803504683323,22733,0.0495206494570224,0.0380900602976244,0.744830333032406,1.05251818467019e-17
26,2016,0.439830737188458,0.0696311672211233,22733,0.0286693758364871,0.0241922267689991,0.830469348896953,-6.68317513033392e-18
26,2024,0.574166607577354,0.0686133773327606,22593,0.028661052670921,0.0239611615811248,0.825503828249852,-8.22579132685641e-18
27,2009,0.544066024711356,0.0878716558084642,22733,0.0445124633246156,0.0346686309754706,0.743383402658621,2.14360881822684e-18
27,2016,0.456706836121157,0.0704304050609379,22733,0.0283564285401503,0.0238676558354671,0.837892990385177,7.22051259240738e-18
27,2024,0.157346902880818,0.0455119886391128,22593,0.0451025948089895,0.0395613604151519,0.0178662068423415,-2.43150020909373e-18
28,2009,0.59414202044718,0.0907237290747273,22733,0.0457249530818698,0.0354153986837779,0.745970674184983,9.00724216993082e-18
28,2016,0.480434829834849,0.0715564028582804,22733,0.0279428842631104,0.0234292018653261,0.847501852671758,7.63594586858688e-18
28,2024,0.839507566764951,0.0855648859458569,22593,0.0263085434725688,0.0205055645986842,0.905458675812509,1.22801816189373e-17
