"TargetYear","RMSE_median","RMSE_low","RMSE_high","MAE_median","MAE_low","MAE_high","R2_median","R2_low","R2_high","Negative_R2_percent","RMSE_central","MAE_central","R2_central","Bias_central"
2009,0.0448086085214309,0.0409465538195456,0.070538770652014,0.0358564460131128,0.0331489299470626,0.0580472393014943,0.722516150898556,0.0390851104935807,0.746630114877953,2.17,0.0438113082063161,0.0341343661130167,0.726327136880199,1.1359353515436e-17
2016,0.0303942656707219,0.02625892660156,0.0533444333139809,0.0253425886302815,0.0211260535850403,0.047293210176503,0.849682597987171,-1.18118584701633,0.903131193509999,8.67,0.0289167426309838,0.024179307086158,0.846979772200701,-3.06755278930853e-18
2024,0.0316437136895157,0.0258362565680334,0.0594714076082927,0.0265805622296733,0.0202589006187943,0.0530029482617995,0.778186110969108,-2.91327781067359,0.906438809000363,15.4,0.0300166941852165,0.0255141078100287,0.786991511951511,-9.99672745772122e-18
